orgUnit_name,period,AFP Confirmed,AFP Sent to Lab,AFP suspected,Anthrax confirmed,Anthrax sent to lab,Anthrax suspected,Cholera confirmed,Cholera sent to lab,Cholera suspected,Diarrhoea Non-Bloody confirmed,Diarrhoea Non-Bloody sent to lab,Diarrhoea Non-Bloody suspecteded,Malaria confirmed,Malaria sent to lab,Malaria suspected,Measles confirmed,Measles sent to lab,Measles suspected,Monkeypox sent to lab,Monkeypox suspected,Plague sent to Lab,Plague suspected,Typhoid fever confirmed,Typhoid fever sent to Lab,Typhoid fever suspected
we Western Province,2024W23,0,2,2,0,0,1,0,0,0,17,11,2189,5353,13754,15296,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W23,0,0,0,0,0,0,0,0,0,0,8,824,3344,6542,13657,0,0,42,0,0,0,0,0,0,0
co Copperbelt Province,2024W23,0,1,1,0,0,0,0,0,1,192,192,2302,13259,30534,33530,0,2,2,0,0,0,0,0,10,10
ls Lusaka Province,2024W23,0,0,0,0,0,0,0,1,3,304,305,2296,1114,7282,7493,0,0,2,0,0,0,0,0,7,10
ea Eastern Province,2024W23,0,1,3,0,0,0,35,52,65,13,51,3068,21401,40912,41635,145,1,7,0,0,0,1,0,0,0
lu Luapula Province,2024W23,0,0,0,0,0,0,0,0,0,0,0,1366,19028,30617,31117,0,0,8,0,0,0,0,0,0,0
ce Central Province,2024W23,0,0,1,0,0,0,0,0,0,0,18,3383,8299,21273,21910,0,0,0,0,0,0,0,0,0,1
no Northern Province,2024W23,0,3,3,0,0,0,0,0,0,0,26,1600,12188,21538,22285,2,0,20,0,0,0,0,1,3,4
co Copperbelt Province,2024W24,0,0,1,0,1,1,0,0,0,166,164,2379,10839,27324,30376,0,0,0,0,0,0,0,1,9,9
nw North-Western Province,2024W24,0,0,0,0,0,0,0,0,0,1026,1071,2112,14314,29126,29627,0,1,7,0,0,0,0,0,13,41
so Southern Province,2024W24,0,1,1,0,1,2,0,0,1,0,9,3492,259,2791,2870,0,0,0,0,0,0,0,0,0,0
we Western Province,2024W24,0,0,1,0,0,0,0,0,0,26,15,2076,4443,12243,13462,0,1,2,0,0,0,1,0,0,0
mu Muchinga Province,2024W24,0,0,0,0,0,0,0,0,0,0,0,612,4953,9260,12581,0,0,44,0,0,0,0,0,0,0
no Northern Province,2024W24,0,1,1,0,0,0,0,0,0,7,35,1302,10507,19292,19932,0,0,96,0,0,0,0,1,6,7
ea Eastern Province,2024W24,0,1,2,0,1,1,2,8,16,17,65,2885,16956,34452,36208,0,3,3,0,0,0,0,0,0,1
lu Luapula Province,2024W24,0,1,1,0,0,0,0,0,0,0,0,1274,16671,27506,28250,0,0,0,0,0,0,0,0,0,0
ce Central Province,2024W24,0,0,0,0,0,0,0,0,0,0,8,3118,6438,17783,18308,0,2,2,0,0,0,0,0,0,0
ls Lusaka Province,2024W24,0,0,1,0,0,0,0,0,0,304,387,2402,971,6571,6698,0,3,4,0,0,0,0,4,5,9
we Western Province,2024W25,0,1,1,0,0,1,0,0,12,22,16,2314,3933,11393,13105,0,1,1,0,0,0,0,0,0,0
nw North-Western Province,2024W25,0,0,0,0,0,0,0,0,0,960,997,1979,11895,25193,26118,0,0,0,0,0,0,0,0,9,11
so Southern Province,2024W25,0,0,0,0,0,0,0,0,0,0,11,3157,245,2917,3045,0,0,0,0,0,0,0,0,0,0
mu Muchinga Province,2024W25,0,1,1,0,0,0,0,0,0,0,0,679,5642,10345,12440,0,0,31,0,0,0,0,0,0,0
co Copperbelt Province,2024W25,0,1,1,0,0,0,0,0,0,223,276,2670,8981,26780,29433,0,1,1,0,0,0,0,0,0,0
ls Lusaka Province,2024W25,0,1,2,0,0,0,0,0,2,376,382,2591,956,7872,8318,0,2,4,0,0,0,0,0,9,17
ea Eastern Province,2024W25,0,0,0,0,0,0,61,5,8,24,73,2985,17625,35742,37386,0,0,1,0,0,0,0,0,2,2
lu Luapula Province,2024W25,0,1,1,0,0,0,0,0,0,0,15,1338,14516,24795,26249,0,0,0,0,0,0,0,0,0,0
ce Central Province,2024W25,0,0,0,0,0,0,0,0,0,0,0,3118,5857,17536,17998,1,1,1,0,0,0,0,1,2,2
